name,parent,value
root,,
Fashion & Retail,root,
Automotive,root,
Technology,root,
Finance & Investments,root,
Media & Entertainment,root,
Telecom,root,
Diversified,root,
Food & Beverage,root,
Logistics,root,
Gambling & Casinos,root,
Manufacturing,root,
Real Estate,root,
Metals & Mining,root,
Energy,root,
Healthcare,root,
Service,root,
Construction & Engineering,root,
Sports,root,
LVMH,Fashion & Retail,211000
Tesla,Automotive,180000
Amazon,Technology,138400
Oracle,Technology,107000
Berkshire Hathaway,Finance & Investments,106000
Microsoft,Technology,196400
Bloomberg LP,Media & Entertainment,94500
L'Oréal,Fashion & Retail,80500
Google,Technology,189000
Zara,Fashion & Retail,84200
Beverages,Food & Beverage,68000
Facebook,Technology,83400
Koch Industries,Diversified,118000
Walmart,Fashion & Retail,220900
Media,Media & Entertainment,71900
Dell Technologies,Technology,50100
Infrastructure,Diversified,57000
Nike,Fashion & Retail,45100
TikTok,Technology,45000
Retail,Fashion & Retail,74300
Luxury goods,Fashion & Retail,73100
Shipping,Logistics,169900
Nutella,Food & Beverage,38900
Candy,Food & Beverage,115000
Internet media,Technology,46300
Casinos,Gambling & Casinos,35000
Hedge funds,Finance & Investments,212300
Red Bull,Food & Beverage,34700
Batteries,Automotive,64100
Fashion retail,Fashion & Retail,39900
Music,Diversified,32100
Chanel,Fashion & Retail,63200
E-commerce,Technology,80600
Fasteners,Manufacturing,29700
Trading,Finance & Investments,35700
Investments,Finance & Investments,185700
BMW,Automotive,27400
Mining,Metals & Mining,105300
Online games,Technology,45800
software services,Technology,25600
Coal,Energy,37700
Discount brokerage,Finance & Investments,34500
Fertilizers,Metals & Mining,25200
BMW,Automotive,24600
Banking,Finance & Investments,57400
Metals,Metals & Mining,23700
Home appliances,Manufacturing,23400
Chemicals,Manufacturing,75200
Vaccines,Healthcare,34800
Internet,Telecom,29100
Steel,Metals & Mining,78300
Cheese,Food & Beverage,37400
Fidelity,Finance & Investments,33700
Gas,Energy,21600
Package delivery,Service,26800
Semiconductors,Technology,35400
Estee Lauder,Fashion & Retail,21000
Sensors,Manufacturing,21000
Oil,Energy,63200
Hospitals,Healthcare,34100
Automobiles,Automotive,39000
Mining,Metals & Mining,26300
Pig breeding,Food & Beverage,18900
Batteries,Automotive,18700
Oil & gas,Energy,18500
Oil,Energy,51300
Quicken Loans,Finance & Investments,18000
Steel,Metals & Mining,50500
Home improvement stores,Fashion & Retail,17400
Newspapers,Media & Entertainment,17100
Banking,Finance & Investments,43100
Aldi,Fashion & Retail,16500
Finance,Finance & Investments,21800
medical devices,Healthcare,16300
H&M,Fashion & Retail,16200
Soy sauce,Food & Beverage,21100
Supermarkets,Fashion & Retail,39100
Beer,Food & Beverage,35000
Pharmaceuticals,Healthcare,98400
Wireless networking,Technology,15500
